TIMESTAMP_START,TIMESTAMP_END,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,WD,USTAR,RH,NETRAD,PPFD_IN,PPFD_OUT,SW_OUT,LW_OUT,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NIGHT,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
2.00312E+11,2.00312E+11,8.835,2,703.05,455.524,2,270.621,2,3.253,2,102.294,2,0,2,3.205,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.498,2,33.2,2,45,2,58.4,3,66.3636,50.305,83.198,9.08295,100.1,2,113.75,86.2248,142.605,50.7902,0,0.114,3,0.228111,0.114,0.18775,0.29875,3,3,3,0.384229,0.369882,0.383429,0.426474,0.263259,0.133372,0.171883,0.256439,0.415254,0.383668,0.408698,0.4103,2.23058,2.23892,2.26398,2.54208,-9999,-9999
2.00312E+11,2.00312E+11,9.203,2,750.8,486.716,2,270.621,2,3.652,2,102.316,2,0,2,3.158,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.17,2,33.2,2,58.4,2,60.1,3,67.5624,51.7693,83.1383,9.53035,111.2,2,125.007,95.7861,153.827,50.7902,0,0.114,3,0.228111,0.114,0.114,0.437875,3,3,3,0.391485,0.377241,0.391485,0.43543,0.270385,0.002719,0.239718,0.264669,0.431769,0.398723,0.427288,0.428966,2.31375,2.32323,2.35108,2.63724,-9999,-9999
2.00312E+11,2.00312E+11,9.57,2,780.662,506.293,2,270.621,2,4.052,2,102.339,2,0,2,3.111,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.772,2,33,2,66.8,2,57.1,3,64.8864,49.1851,78.9883,9.08295,114.1,2,129.659,98.2842,157.838,38.1175,0,0.355,3,0.228111,0.355,0.355,0.562143,3,3,3,0.398749,0.384614,0.399539,0.444416,0.036518,-0.113059,0.029462,0.041711,0.448654,0.414116,0.446401,0.448157,2.36145,2.37163,2.40119,2.69225,-9999,-9999
2.00312E+11,2.00312E+11,9.938,2,792.126,513.919,2,270.621,2,4.452,2,102.361,2,0,2,3.063,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.266,2,33.2,2,71.6,2,52.1,3,58.5691,44.8782,72.0717,9.08295,115.7,2,130.066,99.6624,160.052,38.1175,0,0.51775,3,0.228111,0.51775,0.51775,0.705167,3,3,3,0.406062,0.392045,0.407912,0.453483,-0.119051,-0.247529,-0.125813,-0.115464,0.466007,0.429939,0.466007,0.467716,2.37632,2.38676,2.41694,2.71008,-9999,-9999
2.00312E+11,2.00312E+11,10.306,2,784.995,496.118,2,268.7,2,4.851,2,102.384,2,0,2,3.016,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.664,2,33.4,2,73.6,2,44.8,3,50.3627,38.5901,61.9733,8.30663,115.2,2,129.504,99.2317,159.36,38.1175,0,0.33025,3,0.228111,0.33025,0.33025,0.580167,3,3,3,0.413401,0.39951,0.416339,0.462603,0.075656,-0.112999,0.069198,0.077606,0.483785,0.446151,0.483785,0.486534,2.32407,2.33383,2.36235,2.65183,-9999,-9999
2.00312E+11,2.00312E+11,10.221,2,759.392,480.088,2,268.7,2,4.825,2,102.377,2,0,2,2.922,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.95,2,33.4,2,71.2,2,41.2222,3,46.2189,35.5083,56.6806,8.23273,110.2,2,123.558,94.9248,151.525,50.7902,0,0.3188,3,0.228111,0.3188,0.3188,0.462667,3,3,3,0.4109,0.396994,0.413623,0.459686,0.084653,0.001442,0.078122,0.086967,0.479031,0.441703,0.479031,0.481208,2.27544,2.2846,2.31161,2.59765,-9999,-9999
2.00312E+11,2.00312E+11,10.136,2,715.754,452.643,2,268.7,2,4.799,2,102.369,2,0,2,2.829,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.114,2,33.6,2,65,2,36.1111,3,40.4882,31.1056,49.6528,11.5861,104,2,116.606,89.5842,143,50.7902,0,0.3188,3,0.228111,0.265667,0.3188,0.3188,3,3,3,0.408409,0.394488,0.410918,0.456779,0.082207,0.075688,0.092227,0.190151,0.474312,0.437287,0.474312,0.476062,2.19319,2.20133,2.2258,2.50524,-9999,-9999
2.00312E+11,2.00312E+11,10.052,2,654.828,414.25,2,268.7,2,4.773,2,102.362,2,0,2,2.735,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.152,2,33.6,2,56,2,32.875,3,36.8598,28.3181,45.4771,10.9751,90.6,2,101.582,78.0416,125.33,50.7902,0,0.1778,3,0.228111,0.148167,0.1778,0.1778,3,3,3,0.405947,0.392012,0.408248,0.453909,0.220791,0.214119,0.257938,0.304717,0.469675,0.432947,0.469675,0.471412,2.07396,2.08068,2.10165,2.37069,-9999,-9999
2.00312E+11,2.00312E+11,9.967,2,577.657,365.567,2,268.7,2,4.747,2,102.355,2,0,2,2.642,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,12.086,2,33.4,2,44.4,2,30.625,3,34.3371,26.4248,42.3646,11.5423,71.9,2,80.6152,62.0391,99.4617,-9999,0,0.11975,3,0.228111,0.114,0.11975,0.167,3,3,3,0.403473,0.389523,0.405564,0.451024,0.276413,0.266816,0.27891,0.287313,0.465021,0.428593,0.465021,0.466744,1.91242,1.91738,1.93397,2.18781,-9999,-9999
2.00312E+11,2.00312E+11,9.882,2,485.561,307.427,2,268.7,2,4.721,2,102.348,2,0,2,2.549,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.936,2,33.2,2,30.2,2,28.25,3,31.1474,24.3756,38.8438,10.4517,50.8,2,56.0103,43.8329,69.85,37.8234,0,0.1255,3,0.228111,0.0912857,0.1065,0.1255,3,3,3,0.401007,0.387044,0.402891,0.448149,0.268243,0.261544,0.323963,0.360218,0.460401,0.42427,0.460348,0.462111,1.7006,1.70356,1.7151,1.94696,-9999,-9999
